customer_id,age,yrs_experience,family_size,education_level,income,mortgage_amt,credit_card_acct,credit_card_spend,share_trading_acct,fixed_deposit_acct,online_acct,personal_loan
3252,61,35,4,Graduate,107,126,yes,2,0,0,yes,no
732,35,29,4,Undergraduate,145,104,no,0,0,0,yes,no
1817,36,31,4,Graduate,149,230,no,0,0,0,yes,yes
4515,28,11,3,Undergraduate,40,0,no,0,1,0,no,no
4601,64,36,3,Undergraduate,44,0,no,0,0,0,no,no
1661,59,30,3,Undergraduate,112,0,no,0,0,1,yes,no
3284,43,17,2,Advanced or Professional,48,0,yes,0.6,0,0,yes,no
4139,63,18,2,Advanced or Professional,102,0,yes,2.7,0,0,yes,yes
410,41,6,2,Graduate,113,166,no,0,0,0,no,yes
2749,35,34,3,Undergraduate,33,0,no,0,0,0,yes,no
1447,57,8,2,Advanced or Professional,82,126,yes,1.5,0,0,yes,no
3339,34,19,2,Advanced or Professional,106,0,no,0,0,0,no,no
2381,28,4,1,Advanced or Professional,156,214,no,0,0,0,yes,no
650,35,0,1,Advanced or Professional,54,0,yes,1.9,0,0,no,no
4136,58,37,4,Undergraduate,37,0,yes,3.2,0,0,no,no
1769,47,1,3,Undergraduate,55,0,no,0,1,0,no,no
793,26,42,1,Undergraduate,53,0,no,0,0,0,yes,no
2205,57,14,4,Graduate,77,0,yes,0.4,0,0,yes,no
1506,40,29,3,Advanced or Professional,99,0,no,0,0,1,yes,no
809,,64,4,Advanced or Professional,,80,no,0,0,0,yes,no
3030,25,40,3,Undergraduate,87,0,no,0,0,0,no,no
809,42,35,1,Undergraduate,22,0,yes,2.1,0,0,no,no
527,52,40,2,Undergraduate,8,145,no,0,1,0,no,no
67,50,17,1,Advanced or Professional,91,0,no,0,0,0,yes,no
1779,58,20,3,Undergraduate,10,78,yes,2.7,0,0,no,no
4477,45,42,4,Undergraduate,22,0,yes,0.7,0,0,no,no
3430,30,8,1,Undergraduate,135,0,no,0,0,0,no,no
4181,41,28,3,Undergraduate,70,150,no,0,0,0,no,no
5049,54,32,1,Undergraduate,113,268,no,0,0,0,yes,yes
3081,54,10,1,Undergraduate,87,91,yes,3.3,0,0,yes,no
1597,41,40,1,Undergraduate,111,180,yes,2.7,0,0,no,yes
4506,38,16,2,Graduate,164,95,yes,3.6,0,0,yes,yes
1258,37,29,2,Advanced or Professional,93,101,no,0,0,0,no,no
3906,26,14,3,Undergraduate,109,149,no,0,0,0,yes,no
1101,31,22,2,Graduate,149,159,yes,3.1,0,0,yes,yes
2382,31,19,1,Undergraduate,69,0,yes,0.1,0,0,yes,no
4785,53,25,2,Graduate,43,109,no,0,0,0,no,no
1580,52,2,2,Graduate,72,0,no,0,0,0,no,no
2050,26,27,3,Advanced or Professional,61,135,no,0,0,0,no,no
1403,52,24,3,Graduate,77,0,yes,0.5,1,0,no,no
520,65,30,1,Graduate,115,0,no,0,0,0,yes,no
3690,49,10,3,Graduate,66,0,no,0,0,0,yes,no
3486,53,7,2,Graduate,157,388,no,0,0,1,yes,yes
3826,55,4,3,Undergraduate,83,0,no,0,0,0,yes,no
3819,51,17,4,Undergraduate,114,133,yes,2.7,0,0,yes,no
1350,44,32,3,Undergraduate,16,166,yes,0.4,0,0,no,no
472,62,28,3,Undergraduate,110,85,yes,1.4,0,0,yes,no
3895,,,2,Advanced or Professional,29,0,no,0,0,0,yes,no
4528,25,11,2,Advanced or Professional,51,184,no,0,0,0,yes,no
3564,23,0,2,Advanced or Professional,73,0,yes,3.2,0,0,no,no
5611,,8,,Undergraduate,229,0,yes,6.5,0,0,no,no
1315,47,1,1,Undergraduate,77,0,no,0,0,0,yes,no
602,63,21,3,Advanced or Professional,28,145,no,0,0,0,yes,no
3369,54,3,2,Advanced or Professional,111,0,no,0,0,0,yes,no
4973,42,25,4,Graduate,137,72,no,0,0,0,yes,yes
3913,26,9,1,Advanced or Professional,149,408,no,0,0,0,no,yes
170,40,4,4,Advanced or Professional,97,121,no,0,0,0,no,no
1679,48,32,4,Graduate,139,0,yes,3.3,0,0,no,yes
3728,38,37,2,Undergraduate,28,0,no,0,0,0,no,no
1406,46,14,1,Undergraduate,136,0,no,0,0,1,no,yes
5997,38,26,4,Undergraduate,77,101,no,0,0,0,yes,no
1788,42,9,3,Graduate,128,378,yes,4.3,0,1,yes,yes
5750,91,,3,Undergraduate,,0,no,0,0,0,yes,no
4195,67,29,4,Graduate,109,0,no,0,0,0,no,no
102,24,30,1,Graduate,61,140,no,0,0,0,yes,no
5852,63,,,Advanced or Professional,,0,yes,0.6,1,0,no,no
1600,56,15,2,Graduate,144,0,no,0,0,0,no,no
940,29,34,1,Advanced or Professional,147,0,yes,0,0,0,no,no
2830,25,27,4,Advanced or Professional,45,102,no,0,0,0,no,no
4729,40,18,4,Advanced or Professional,150,189,no,0,0,1,yes,yes
3342,40,28,1,Advanced or Professional,115,0,no,0,0,0,no,no
1631,37,14,3,Advanced or Professional,115,0,no,0,0,0,yes,no
1846,42,9,4,Undergraduate,119,0,yes,0.5,0,0,yes,no
198,63,2,4,Graduate,111,81,yes,1.7,0,0,yes,no
2261,41,8,1,Advanced or Professional,90,0,no,0,0,0,yes,no
2189,53,10,1,Advanced or Professional,133,302,yes,4.8,0,1,yes,yes
4832,55,8,3,Advanced or Professional,162,372,no,0,0,0,no,yes
2827,50,37,3,Advanced or Professional,77,0,no,0,0,0,yes,no
3159,41,2,3,Undergraduate,34,119,no,0,0,0,no,no
2953,51,41,4,Advanced or Professional,56,0,yes,0.6,0,0,yes,no
3646,60,21,1,Undergraduate,52,0,yes,1.1,0,0,yes,no
1881,30,3,3,Undergraduate,49,0,no,0,0,0,yes,no
2319,42,23,4,Undergraduate,35,0,yes,0.2,0,0,yes,no
3376,60,0,2,Undergraduate,24,0,no,0,0,0,yes,no
442,48,12,2,Advanced or Professional,76,130,no,0,0,0,yes,no
3109,24,23,3,Graduate,191,0,no,0,0,0,yes,no
626,34,10,2,Graduate,77,253,yes,2.8,1,0,no,no
2316,65,32,1,Advanced or Professional,86,0,no,0,0,0,no,no
1155,36,9,1,Graduate,107,132,yes,0.3,0,0,yes,no
3788,43,10,2,Advanced or Professional,170,186,yes,8.3,0,0,yes,yes
1475,37,39,2,Undergraduate,49,104,yes,0.9,0,0,no,no
376,33,28,2,Undergraduate,57,70,yes,4.4,0,0,yes,no
4280,,29,,Advanced or Professional,,0,no,0,0,0,yes,no
2768,40,28,1,Advanced or Professional,96,0,no,0,0,0,yes,no
1466,28,32,3,Undergraduate,104,127,no,0,0,0,no,no
2739,44,18,4,Undergraduate,76,119,yes,0.3,1,0,yes,no
3359,48,3,1,Undergraduate,44,0,no,0,0,0,no,no
3822,59,23,4,Undergraduate,64,0,no,0,1,0,no,no
553,39,40,2,Advanced or Professional,62,0,no,0,0,0,yes,no
2201,66,42,3,Advanced or Professional,85,187,no,0,0,0,yes,no
2742,23,15,3,Graduate,133,0,no,0,0,0,yes,no
2713,53,30,1,Advanced or Professional,114,0,no,0,0,0,yes,no
2796,66,17,2,Undergraduate,102,76,no,0,0,0,no,no
4398,49,36,3,Undergraduate,70,0,no,0,0,1,no,no
4172,66,39,4,Advanced or Professional,104,98,no,0,0,0,yes,no
4155,51,10,4,Graduate,151,284,yes,1.8,0,1,no,yes
5610,24,24,2,Advanced or Professional,147,198,yes,1.4,0,0,yes,no
4834,56,19,1,Advanced or Professional,76,85,yes,2.7,0,0,no,no
4289,55,25,3,Undergraduate,20,0,yes,1.1,0,0,yes,no
2884,61,31,3,Graduate,140,0,no,0,0,0,no,yes
5652,42,5,2,Advanced or Professional,147,0,no,0,0,0,yes,no
5984,45,37,2,Advanced or Professional,96,0,no,0,0,0,yes,no
3223,66,20,4,Undergraduate,73,76,no,0,0,0,no,no
2472,62,39,2,Undergraduate,84,0,no,0,0,0,yes,no
1852,91,,,Graduate,,0,no,0,0,0,yes,no
5344,29,42,1,Graduate,34,0,no,0,0,0,yes,no
815,48,7,1,Undergraduate,66,0,yes,0.5,0,0,yes,no
2409,53,24,1,Graduate,99,95,no,0,0,0,no,no
3318,26,16,3,Undergraduate,129,110,no,0,1,1,yes,yes
4558,54,0,1,Advanced or Professional,74,0,no,0,0,0,yes,no
2266,66,32,1,Advanced or Professional,55,0,no,0,0,0,no,no
5375,65,30,3,Graduate,34,0,yes,4.2,0,0,no,no
2124,35,37,4,Undergraduate,113,0,no,0,0,0,yes,no
1438,,,4,Undergraduate,69,297,no,0,0,0,yes,no
3156,27,37,2,Graduate,8,196,no,0,0,0,yes,no
3436,35,11,4,Advanced or Professional,147,291,yes,0.1,0,0,yes,yes
1408,43,25,2,Advanced or Professional,94,0,no,0,0,0,no,no
3470,,20,2,Undergraduate,,0,yes,3.7,0,0,yes,no
5474,45,13,4,Advanced or Professional,77,0,no,0,1,0,yes,no
1644,55,33,4,Graduate,67,122,yes,0.8,0,0,no,no
289,29,14,2,Advanced or Professional,61,151,no,0,0,0,no,no
2256,34,15,4,Advanced or Professional,94,124,no,0,0,0,yes,no
2819,38,38,1,Advanced or Professional,116,0,no,0,0,1,yes,yes
1252,56,23,4,Graduate,145,177,no,0,1,1,no,yes
5468,52,8,1,Undergraduate,70,101,no,0,0,0,yes,no
2706,42,8,1,Graduate,82,0,yes,0.2,0,0,yes,no
3142,65,27,4,Undergraduate,81,0,no,0,0,0,no,no
5857,44,34,2,Graduate,84,0,yes,0.5,0,0,no,no
1299,,,,Advanced or Professional,,0,yes,0.6,0,0,no,no
2199,59,2,1,Advanced or Professional,42,94,no,0,0,0,yes,no
3747,62,4,2,Advanced or Professional,171,0,no,0,0,0,yes,no
1908,62,4,3,Undergraduate,79,118,no,0,0,0,yes,no
1669,33,34,3,Advanced or Professional,123,159,no,0,1,0,no,yes
2747,28,5,1,Undergraduate,125,83,no,0,1,0,yes,no
2129,57,24,1,Graduate,78,125,no,0,0,0,no,no
849,50,41,1,Undergraduate,99,0,no,0,0,0,yes,no
1444,57,34,1,Undergraduate,141,162,no,0,1,0,no,no
79,26,36,2,Advanced or Professional,16,0,no,0,0,0,yes,no
494,57,0,1,Graduate,65,107,yes,1.6,0,0,yes,no
1751,49,25,3,Graduate,84,0,yes,5.6,0,0,no,no
2254,54,31,3,Advanced or Professional,109,0,no,0,1,0,yes,no
2088,37,19,1,Graduate,106,87,no,0,0,1,yes,yes
175,39,37,4,Undergraduate,118,75,yes,3.4,0,0,no,no
4273,38,7,2,Graduate,175,78,no,0,1,0,no,yes
2237,42,7,1,Undergraduate,46,117,no,0,0,0,yes,no
4816,37,6,1,Graduate,25,197,no,0,0,0,yes,no
1607,61,4,3,Undergraduate,9,0,yes,4.5,0,0,yes,no
2661,40,36,2,Advanced or Professional,89,90,yes,3.7,0,0,no,no
3825,33,1,4,Advanced or Professional,77,0,no,0,0,0,no,no
5368,59,20,3,Undergraduate,81,0,no,0,0,0,yes,no
4706,39,3,3,Graduate,36,0,no,0,0,0,yes,no
4783,45,14,1,Advanced or Professional,124,129,no,0,0,0,yes,no
174,,,3,Undergraduate,,97,no,0,0,0,no,no
2122,32,8,3,Undergraduate,85,0,yes,3.3,0,0,yes,no
1739,62,4,3,Advanced or Professional,114,0,no,0,0,0,yes,no
641,51,0,3,Graduate,8,0,no,0,0,0,yes,no
4832,52,40,3,Graduate,54,0,no,0,0,1,yes,no
4061,31,29,2,Undergraduate,133,0,no,0,0,0,yes,yes
4143,55,16,2,Graduate,31,155,yes,0.2,0,0,no,no
5662,29,27,1,Graduate,132,0,no,0,0,0,yes,no
5138,40,36,3,Undergraduate,100,164,no,0,0,0,no,no
4127,46,34,4,Undergraduate,169,218,no,0,0,0,yes,yes
2914,64,29,1,Undergraduate,100,303,yes,0.8,0,0,no,no
3106,37,27,2,Undergraduate,96,0,yes,2.6,0,0,yes,no
4435,39,37,4,Undergraduate,117,122,no,0,0,0,yes,no
2489,28,26,2,Graduate,65,119,no,0,0,0,no,no
1054,37,10,3,Graduate,127,125,no,0,0,0,yes,no
4170,55,36,4,Graduate,145,128,no,0,1,0,yes,yes
1240,46,40,1,Graduate,102,0,no,0,0,0,no,no
5613,25,14,2,Advanced or Professional,70,76,no,0,0,0,no,no
1348,39,34,3,Undergraduate,84,341,yes,1.6,0,1,yes,yes
4886,36,15,3,Graduate,114,0,no,0,0,0,yes,yes
717,25,28,1,Undergraduate,55,0,no,0,0,0,no,no
2593,51,42,1,Advanced or Professional,115,0,no,0,0,0,no,no
4031,48,32,4,Advanced or Professional,24,95,no,0,0,0,no,no
4411,40,29,4,Undergraduate,47,154,yes,2.7,1,0,yes,no
5443,63,24,3,Advanced or Professional,120,0,no,0,1,0,no,yes
4332,66,24,2,Advanced or Professional,124,235,yes,0.6,0,0,no,no
2907,33,1,4,Undergraduate,89,120,no,0,0,0,yes,no
4765,43,4,4,Undergraduate,33,0,no,0,0,0,no,no
1354,23,13,1,Graduate,75,82,no,0,0,0,no,no
23,65,21,1,Graduate,89,0,no,0,0,0,yes,no
1671,43,25,4,Undergraduate,141,156,no,0,0,0,yes,yes
2063,,,6,Graduate,300,0,yes,7,0,0,no,no
966,32,25,4,Undergraduate,186,0,no,0,0,0,yes,no
871,58,30,1,Advanced or Professional,38,0,no,0,0,0,yes,no
2071,56,36,2,Graduate,62,0,no,0,0,0,yes,no
270,46,7,1,Graduate,45,0,no,0,0,0,yes,no
4272,56,29,1,Graduate,159,166,yes,3.1,0,1,yes,yes
818,41,20,4,Advanced or Professional,59,0,no,0,0,0,no,no
491,31,18,4,Undergraduate,8,0,no,0,0,0,no,no
1789,34,8,4,Graduate,33,153,no,0,0,0,yes,no
3834,49,36,1,Advanced or Professional,91,92,no,0,0,0,yes,no
2047,32,63,7,Advanced or Professional,75,0,no,0,0,0,no,no
1732,57,0,2,Graduate,34,75,no,0,0,0,yes,no
3552,31,23,2,Graduate,134,0,yes,0.3,0,0,no,no
1758,29,0,3,Graduate,156,0,yes,6.5,0,0,yes,yes
591,66,38,3,Graduate,52,0,no,0,0,0,no,no
5050,39,28,3,Advanced or Professional,70,72,no,0,0,0,yes,no
3804,43,,3,Advanced or Professional,89,159,no,0,0,0,yes,no
1970,28,33,3,Advanced or Professional,163,120,no,0,0,0,no,no
5208,39,21,2,Advanced or Professional,135,71,no,0,1,0,yes,no
4983,43,33,4,Undergraduate,50,0,yes,0.7,0,0,yes,no
4483,37,27,1,Graduate,148,249,no,0,0,1,no,yes
4657,40,34,4,Undergraduate,75,0,yes,0.5,0,0,yes,no
5091,60,0,2,Graduate,132,0,yes,0.2,0,0,yes,no
4588,29,12,4,Advanced or Professional,50,104,no,0,0,0,no,no
3279,34,17,1,Advanced or Professional,59,110,yes,3.8,0,0,yes,no
3182,,,,Graduate,100,184,yes,1.2,1,0,no,no
1537,50,30,4,Graduate,142,292,no,0,0,0,yes,yes
3274,66,8,4,Advanced or Professional,76,100,yes,1.3,1,0,yes,no
1315,48,17,1,Graduate,153,186,yes,3.3,0,1,yes,yes
5378,44,65,,Undergraduate,,166,no,0,0,0,yes,no
3141,61,14,3,Graduate,112,0,yes,0.4,0,0,yes,no
5485,47,12,4,Graduate,106,0,no,0,0,0,no,no
2796,48,14,2,Undergraduate,121,0,no,0,0,0,no,yes
4763,47,36,4,Graduate,90,158,no,0,1,0,yes,no
5483,65,11,3,Undergraduate,9,0,no,0,1,0,no,no
289,30,37,4,Graduate,40,104,no,0,0,0,no,no
1720,49,13,1,Advanced or Professional,114,76,no,0,0,0,yes,no
937,66,34,4,Advanced or Professional,79,0,yes,6.4,0,0,yes,no
4193,54,19,2,Undergraduate,103,140,no,0,0,0,no,no
2659,52,26,2,Advanced or Professional,149,162,no,0,0,1,no,yes
417,31,18,1,Graduate,162,0,yes,3.2,0,0,no,yes
745,49,13,4,Graduate,25,0,no,0,0,0,no,no
2056,49,10,2,Graduate,97,0,no,0,1,0,no,no
3966,49,22,3,Undergraduate,62,76,no,0,0,0,no,no
5968,23,41,2,Graduate,38,147,no,0,0,0,yes,no
5429,30,8,3,Graduate,49,0,yes,1.5,1,0,no,no
3765,35,16,4,Undergraduate,55,240,no,0,0,0,yes,no
5471,64,3,2,Advanced or Professional,141,82,no,0,0,0,no,yes
4446,59,24,1,Graduate,199,0,no,0,0,0,yes,no
2469,27,38,3,Undergraduate,57,0,no,0,0,0,no,no
4538,32,27,3,Advanced or Professional,71,103,no,0,0,0,no,no
5319,46,21,3,Graduate,41,82,yes,1.7,0,0,no,no
4842,40,26,1,Undergraduate,15,111,yes,4.1,0,1,yes,no
3097,67,40,3,Advanced or Professional,30,0,no,0,0,0,no,no
996,55,15,2,Undergraduate,80,0,no,0,0,0,no,no
2478,28,3,4,Advanced or Professional,54,0,no,0,0,0,no,no
2281,38,35,1,Undergraduate,97,0,no,0,0,0,no,no
3816,49,10,4,Advanced or Professional,43,72,no,0,0,0,yes,no
5595,66,17,1,Advanced or Professional,176,0,no,0,0,0,yes,no
3050,34,16,3,Graduate,75,0,no,0,0,0,yes,no
3015,64,32,3,Advanced or Professional,69,70,no,0,0,0,no,no
2253,43,40,2,Undergraduate,106,0,no,0,0,0,yes,no
1569,31,0,3,Undergraduate,83,0,no,0,0,0,yes,no
2034,58,33,1,Advanced or Professional,13,154,yes,2.1,0,0,yes,no
562,31,3,4,Graduate,42,204,no,0,0,0,no,no
4680,37,21,2,Graduate,121,0,no,0,1,0,yes,no
5560,29,17,2,Advanced or Professional,109,219,no,0,0,0,yes,yes
5688,43,29,2,Undergraduate,45,99,no,0,0,0,yes,no
5071,54,27,3,Graduate,60,0,no,0,0,0,yes,no
3152,55,23,2,Undergraduate,85,107,no,0,0,0,yes,no
3288,36,28,2,Graduate,81,0,no,0,0,0,yes,no
5198,58,4,2,Undergraduate,101,268,yes,2.2,0,0,no,yes
4584,45,11,2,Advanced or Professional,89,184,yes,0.8,0,0,no,no
670,49,0,3,Graduate,98,81,yes,0.7,1,0,no,no
4704,23,34,4,Undergraduate,100,96,no,0,1,0,yes,no
779,50,25,1,Advanced or Professional,45,250,no,0,0,0,yes,no
3212,32,11,2,Graduate,131,391,no,0,0,0,no,yes
2693,26,18,4,Graduate,86,0,yes,0.7,0,0,yes,no
5235,62,24,1,Advanced or Professional,152,0,yes,1.5,1,0,yes,no
5959,63,32,3,Undergraduate,43,267,yes,1.9,0,0,yes,no
3542,25,3,1,Advanced or Professional,39,244,yes,1.2,0,0,yes,no
4252,56,30,3,Graduate,82,104,yes,0.5,0,0,no,no
3885,67,16,2,Advanced or Professional,90,0,yes,0.1,0,1,yes,no
2118,56,14,4,Graduate,174,187,no,0,1,1,yes,yes
1966,27,37,1,Graduate,73,0,yes,1,0,0,yes,no
4321,28,41,1,Undergraduate,82,123,yes,3.4,0,0,yes,no
2378,23,34,2,Undergraduate,31,0,no,0,0,0,yes,no
4653,42,32,3,Undergraduate,68,0,no,0,0,0,no,no
3778,50,6,1,Advanced or Professional,65,71,no,0,0,0,yes,no
5497,31,22,3,Graduate,57,79,yes,0.3,0,0,yes,no
3541,48,2,1,Graduate,82,130,no,0,0,0,no,no
1927,55,19,2,Undergraduate,125,113,no,0,0,0,yes,no
825,36,7,4,Graduate,142,116,no,0,0,0,yes,yes
5382,42,17,2,Undergraduate,145,239,no,0,1,0,no,yes
4511,30,34,2,Undergraduate,183,79,no,0,0,1,no,yes
5461,28,26,2,Graduate,223,79,no,0,0,0,no,no
3331,32,38,1,Undergraduate,144,208,no,0,1,0,no,yes
5623,37,34,3,Advanced or Professional,14,0,no,0,0,0,yes,no
1330,59,30,3,Undergraduate,191,147,no,0,0,1,yes,yes
1608,91,62,,Undergraduate,,0,no,0,0,0,no,no
3895,59,7,1,Undergraduate,75,0,no,0,0,0,yes,no
1365,33,23,2,Advanced or Professional,120,181,no,0,0,0,no,yes
5742,63,32,2,Undergraduate,69,106,no,0,0,0,yes,no
3390,36,4,4,Advanced or Professional,128,0,no,0,0,0,yes,yes
5796,28,3,3,Graduate,130,0,yes,0.8,0,0,no,no
5601,24,,7,Undergraduate,,176,no,0,0,0,yes,no
4869,28,16,2,Undergraduate,71,0,no,0,1,0,no,no
4492,62,1,2,Graduate,71,0,yes,1.4,0,0,no,no
5228,26,10,4,Advanced or Professional,47,0,no,0,0,0,no,no
1127,47,27,2,Graduate,109,352,no,0,1,1,no,yes
4430,62,17,1,Undergraduate,90,0,no,0,0,0,no,no
4125,39,,,Undergraduate,,173,no,0,0,0,yes,no
4864,27,10,3,Advanced or Professional,115,0,no,0,0,0,no,no
1642,31,35,1,Graduate,185,0,no,0,0,1,yes,yes
4559,58,8,2,Graduate,102,0,no,0,0,0,no,no
1018,46,24,1,Undergraduate,118,0,no,0,0,0,no,no
5563,51,37,4,Graduate,136,195,no,0,0,0,yes,no
3345,58,21,4,Advanced or Professional,11,0,no,0,1,0,yes,no
4713,60,23,,Graduate,33,118,no,0,0,0,yes,no
5095,32,33,4,Undergraduate,100,0,yes,0.4,0,0,no,no
4987,44,30,1,Undergraduate,116,228,yes,1.2,1,0,yes,no
4182,57,28,1,Graduate,189,203,no,0,1,0,yes,yes
3247,47,26,2,Graduate,139,0,no,0,1,1,no,yes
3747,89,,,Graduate,,0,no,0,0,0,yes,no
5044,,9,1,Undergraduate,,0,no,0,0,0,no,no
120,43,25,3,Undergraduate,83,0,no,0,0,0,no,no
3648,,,4,Graduate,,241,no,0,0,0,yes,no
4418,59,37,1,Advanced or Professional,12,0,no,0,0,0,no,no
5097,51,26,1,Graduate,218,0,no,0,0,0,yes,no
3053,39,2,4,Graduate,88,0,no,0,0,0,no,yes
242,51,20,3,Undergraduate,84,114,yes,0.5,0,0,no,no
3397,65,18,4,Graduate,49,87,no,0,0,0,no,no
3581,64,7,4,Advanced or Professional,91,210,no,0,0,0,yes,no
4394,30,21,2,Advanced or Professional,44,0,no,0,0,0,yes,no
3618,25,34,1,Graduate,58,0,yes,0.1,0,0,no,no
593,32,41,1,Advanced or Professional,56,0,no,0,0,0,yes,no
895,44,26,4,Advanced or Professional,65,0,no,0,0,0,no,no
618,30,7,1,Undergraduate,60,0,no,0,0,0,no,no
2460,28,16,1,Undergraduate,,72,no,0,0,0,no,no
4488,28,4,3,Advanced or Professional,99,0,no,0,0,0,yes,no
4474,32,6,4,Undergraduate,194,71,yes,4.8,0,0,yes,yes
4335,24,2,2,Undergraduate,84,143,no,0,0,0,yes,no
2050,57,18,2,Advanced or Professional,110,137,no,0,0,0,no,no
4580,50,36,2,Undergraduate,64,107,yes,1.9,0,0,yes,no
3985,24,4,3,Undergraduate,74,153,yes,1.6,0,0,yes,no
3311,39,40,3,Undergraduate,37,0,no,0,1,0,no,no
1587,50,41,1,Graduate,133,0,yes,1.3,0,0,no,no
2552,32,31,1,Undergraduate,82,143,yes,0.6,0,0,yes,no
826,65,3,4,Advanced or Professional,117,0,no,0,0,1,no,no
996,31,5,1,Advanced or Professional,74,157,yes,0.2,0,0,no,no
4315,44,27,3,Advanced or Professional,69,178,yes,0.4,0,0,no,no
4880,57,41,1,Undergraduate,23,75,no,0,0,0,yes,no
4781,32,14,1,Undergraduate,45,103,no,0,0,0,no,no
4900,30,18,2,Undergraduate,19,139,no,0,0,0,yes,no
4124,48,17,3,Advanced or Professional,17,234,yes,1.2,0,0,yes,no
4659,35,13,3,Undergraduate,,0,no,0,0,0,yes,no
5575,,32,,Graduate,,134,yes,0.8,1,0,yes,no
2790,45,16,4,Undergraduate,11,92,yes,2.7,0,0,yes,no
2927,39,32,2,Undergraduate,64,0,no,0,1,0,yes,no
5269,,,,Advanced or Professional,,0,no,0,0,0,yes,no
3581,,,,Graduate,209,83,no,0,0,0,yes,no
2228,37,37,2,Graduate,123,98,no,0,0,0,yes,no
5656,54,26,4,Graduate,44,0,yes,1.5,0,0,yes,no
5089,33,8,4,Graduate,133,360,no,0,1,0,no,yes
2591,30,35,2,Undergraduate,145,103,yes,0.4,0,0,yes,no
3403,,,3,Advanced or Professional,,127,yes,4.8,0,0,yes,no
1196,53,38,1,Undergraduate,76,0,yes,2.2,0,0,yes,no
4511,91,62,,Undergraduate,291,0,no,0,1,0,no,no
3771,33,20,1,Undergraduate,86,0,yes,2.2,0,0,yes,no
5417,39,33,1,Undergraduate,106,185,no,0,0,0,yes,no
